x_m,y_m,width_left_m,width_right_m,vx_mps
-65.9351678,41.0302688,0.9280326,1.2562878,15
-66.0034911,41.1032516,0.9307021,1.258442,15
-66.0719173,41.176138,0.9333716,1.2605963,15
-66.140445,41.248929,0.9360411,1.2627505,15
-66.2090729,41.3216256,0.9387105,1.2649048,15
-66.2777996,41.3942289,0.9411302,1.2660098,15
-66.3466235,41.4667399,0.9428691,1.2642553,15
-66.4155435,41.5391596,0.944608,1.2625008,15
-66.484558,41.611489,0.9463469,1.2607463,15
-66.5536657,41.6837292,0.9480858,1.2589917,15
-66.6228653,41.7558812,0.9498247,1.2572372,15
-66.6921554,41.8279461,0.9515636,1.2554827,15
-66.7615346,41.899925,0.9533025,1.2537282,15
-66.8310015,41.9718188,0.9550414,1.2519737,15
-66.900555,42.0436288,0.9567803,1.2502191,15
-66.9701954,42.1153578,0.9575492,1.248024,15
-67.0399195,42.187005,0.9553265,1.2444696,15
-67.1097259,42.2585714,0.9531037,1.2409153,15
-67.1796134,42.3300582,0.950881,1.237361,15
-67.2495806,42.4014664,0.9486583,1.2338067,15
-67.3196262,42.4727972,0.9464355,1.2302524,15
-67.3897488,42.5440516,0.9442128,1.2266981,15
-67.4599473,42.6152308,0.9419901,1.2231438,15
-67.5302201,42.6863357,0.9397673,1.2195895,15
-67.6005663,42.757368,0.9375446,1.2160352,15
-67.6709878,42.8283317,0.9356975,1.2145845,15
-67.7414798,42.8992246,0.9351724,1.2205384,15
-67.8120409,42.9700478,0.9346473,1.2264923,15
-67.88267,43.0408024,0.9341223,1.2324462,15
-67.9533657,43.1114895,0.9335972,1.2384002,15
-68.0241267,43.1821104,0.9330722,1.2443541,15
-68.0949518,43.2526662,0.9325471,1.250308,15
-68.1658396,43.3231579,0.932022,1.256262,15
-68.236789,43.3935867,0.931497,1.2622159,15
-68.307799,43.4639543,0.9309719,1.2681698,15
-68.3788725,43.5342659,0.9303035,1.2732619,15
-68.4500038,43.6045181,0.9290531,1.2748554,15
-68.5211914,43.674712,0.9278028,1.2764489,15
-68.5924342,43.7448489,0.9265524,1.2780424,15
-68.6637309,43.8149298,0.925302,1.2796359,15
-68.7350803,43.8849561,0.9240517,1.2812294,15
-68.806481,43.9549288,0.9228013,1.2828229,15
-68.877932,44.0248492,0.9215509,1.2844164,15
-68.9494318,44.0947184,0.9203005,1.2860099,15
-69.0209799,44.1645381,0.9190502,1.2876034,15
-69.0925796,44.2343142,0.9172106,1.2887785,15
-69.1642246,44.3040427,0.9125746,1.2879677,15
-69.2359135,44.3737247,0.9079386,1.2871569,15
-69.3076451,44.4433616,0.9033027,1.2863462,15
-69.3794183,44.5129545,0.8986667,1.2855354,15
-69.4512318,44.5825046,0.8940307,1.2847247,15
-69.5230843,44.6520132,0.8893948,1.2839139,15
-69.5949747,44.7214814,0.8847588,1.2831031,15
-69.6669018,44.7909105,0.8801228,1.2822924,14.9799145
-69.7388649,44.8603022,0.8754869,1.2814816,14.8772709
-69.8108673,44.9296622,0.8711488,1.2819042,14.7739724
-69.8829028,44.9989867,0.8684929,1.2892919,14.6700121
-69.9549701,45.068277,0.865837,1.2966796,14.5653827
-70.0270681,45.1375343,0.8631812,1.3040673,14.4600767
-70.0991955,45.2067598,0.8605253,1.3114549,14.3540862
-70.1713512,45.2759548,0.8578694,1.3188426,14.2474031
-70.2435339,45.3451206,0.8552136,1.3262303,14.1400187
-70.3157425,45.4142583,0.8525577,1.333618,14.0319239
-70.3879759,45.4833691,0.8499018,1.3410056,13.9231093
-70.4602333,45.5524549,0.8472459,1.3483933,13.8135647
-70.5325172,45.6215204,0.8446277,1.3553292,13.7032766
-70.6048222,45.6905628,0.8422686,1.3591552,13.5922341
-70.6771472,45.7595835,0.8399094,1.3629812,13.4804258
-70.7494909,45.8285836,0.8375502,1.3668071,13.36784
-70.8218522,45.8975645,0.8351911,1.3706331,13.2544642
-70.8942299,45.9665274,0.8328319,1.3744591,13.1402852
-70.9666227,46.0354736,0.8304728,1.3782851,13.0252894
-71.0390296,46.1044044,0.8281136,1.382111,12.9094623
-71.1114492,46.173321,0.8257545,1.385937,12.7927888
-71.1838807,46.242225,0.8233953,1.389763,12.6752546
-71.256325,46.3111196,0.8210183,1.3934566,12.5568563
-71.3287786,46.3800038,0.8184865,1.3960011,12.437576
-71.4012405,46.4488788,0.8159546,1.3985455,12.3173951
-71.4737097,46.5177458,0.8134228,1.40109,12.1962938
-71.5461851,46.5866062,0.8108909,1.4036344,12.0742514
-71.6186655,46.6554612,0.8083591,1.4061789,11.9512459
-71.6911501,46.7243119,0.8058272,1.4087233,11.8272542
-71.7636377,46.7931596,0.8032954,1.4112678,11.7022521
-71.8361272,46.8620055,0.8007636,1.4138122,11.5762137
-71.9086175,46.9308508,0.7982317,1.4163567,11.4492603
-71.9811066,46.9996959,0.7957023,1.4188977,11.3216349
-72.0535939,47.0685433,0.7932005,1.4213995,11.1933006
-72.1260781,47.1373944,0.7906987,1.4239013,11.0642189
-72.1985577,47.2062507,0.7881969,1.4264031,10.9343493
-72.271031,47.2751138,0.7856952,1.4289048,10.8036496
-72.3434968,47.3439851,0.7831934,1.4314066,10.6720753
-72.4159535,47.4128661,0.7806916,1.4339084,10.5395797
